,K_r,K_theta,sigma_r,sigma_t,lengths,angles
276,60.0,11.0,0.07801845652514357,0.043785750776646246,[2.       2.000005 2.       ... 2.00005  2.000015 1.999991],[180.    179.999 179.996 ... 156.417 156.473 156.528]
277,60.0,12.0,0.07806567588978289,0.042246219536410695,[2.       2.000005 2.       ... 1.972927 1.972962 1.973009],[180.    179.999 179.996 ... 162.556 162.589 162.619]
278,60.0,13.0,0.07840765032210006,0.039163837272793954,[2.       2.000005 2.       ... 1.962136 1.962476 1.962827],[180.    179.999 179.996 ... 165.072 164.984 164.895]
279,60.0,14.0,0.07853595540448312,0.03803972966224536,[2.       2.000005 2.       ... 1.9738   1.974183 1.974575],[180.    179.999 179.996 ... 160.616 160.537 160.459]
280,60.0,15.0,0.07840168572669012,0.03764430562260724,[2.       2.000005 2.       ... 1.978961 1.979174 1.979407],[180.    179.999 179.996 ... 158.985 158.965 158.946]
281,60.0,16.0,0.07820910525013282,0.03373498063434038,[2.       2.000005 2.       ... 1.978265 1.978384 1.978524],[180.    179.999 179.996 ... 159.67  159.678 159.687]
282,60.0,17.0,0.07816959205931003,0.028160871429761623,[2.       2.000005 2.       ... 1.975565 1.975619 1.975681],[180.    179.999 179.996 ... 160.788 160.815 160.842]
283,60.0,18.0,0.07830006408540933,0.02619938305436923,[2.       2.000005 2.       ... 1.964261 1.964319 1.964387],[180.    179.999 179.996 ... 164.778 164.81  164.842]
284,60.0,19.0,0.07855330891051945,0.027980093754904053,[2.       2.000005 2.       ... 1.96818  1.96829  1.968409],[180.    179.999 179.996 ... 163.815 163.833 163.851]
286,60.0,20.0,0.07890959010768589,0.029818959938751406,[2.       2.000005 2.       ... 1.975084 1.975108 1.975144],[180.    179.999 179.996 ... 161.999 162.053 162.106]
294,65.0,0.0,0.03556134053543599,0.14653450594197806,[2.       2.000005 2.       ... 2.11284  2.11274  2.11267 ],[180.    179.999 179.996 ... 127.516 127.48  127.443]
295,65.0,1.0,0.07240741559981026,0.14280138146984733,[2.       2.000005 2.       ... 2.3356   2.33482  2.33404 ],[180.    179.999 179.996 ... 126.569 126.605 126.643]
306,65.0,2.0,0.08138194401042546,0.12885382519338087,[2.       2.000005 2.       ... 2.03334  2.03472  2.03608 ],[180.    179.999 179.996 ... 162.861 162.824 162.788]
308,65.0,3.0,0.0680195874333108,0.0956307574591467,[2.       2.000005 2.       ... 1.981822 1.982207 1.982603],[180.    179.999 179.996 ... 174.83  174.872 174.913]
309,65.0,4.0,0.06670650055653,0.08213634965191494,[2.       2.000005 2.       ... 1.911554 1.91146  1.911375],[180.    179.999 179.996 ... 145.253 145.336 145.42 ]
310,65.0,5.0,0.0741982799114848,0.06633844619778134,[2.       2.000005 2.       ... 1.958864 1.959276 1.95971 ],[180.    179.999 179.996 ... 172.226 172.197 172.164]
311,65.0,6.0,0.07286681304955282,0.06237369306798413,[2.       2.000005 2.       ... 2.019428 2.020116 2.020807],[180.    179.999 179.996 ... 155.08  154.955 154.828]
312,65.0,7.0,0.07323546809151725,0.05282604880065777,[2.       2.000005 2.       ... 2.053987 2.054457 2.054933],[180.    179.999 179.996 ... 145.014 144.967 144.92 ]
313,65.0,8.0,0.07375068042262967,0.04798492348991684,[2.       2.000005 2.       ... 2.036649 2.03681  2.036975],[180.    179.999 179.996 ... 147.178 147.207 147.236]
314,65.0,9.0,0.07512439039119628,0.042893589312533606,[2.       2.000005 2.       ... 2.000642 2.000952 2.001265],[180.    179.999 179.996 ... 159.994 160.048 160.103]
296,65.0,10.0,0.07544822086008128,0.042010828809198875,[2.       2.000005 2.       ... 2.017891 2.018113 2.018351],[180.    179.999 179.996 ... 161.377 161.432 161.487]
297,65.0,11.0,0.0749177175242639,0.041545486182077096,[2.       2.000005 2.       ... 2.023047 2.023093 2.023156],[180.    179.999 179.996 ... 158.521 158.589 158.655]
298,65.0,12.0,0.07483944739320265,0.04005226531456123,[2.       2.000005 2.       ... 1.989049 1.989227 1.989422],[180.    179.999 179.996 ... 165.824 165.868 165.91 ]
299,65.0,13.0,0.07513146275772588,0.036527771676968135,[2.       2.000005 2.       ... 1.981314 1.981818 1.982329],[180.    179.999 179.996 ... 167.785 167.688 167.59 ]
300,65.0,14.0,0.07525305699326747,0.03511683966496011,[2.       2.000005 2.       ... 1.993884 1.994409 1.994939],[180.    179.999 179.996 ... 162.742 162.669 162.597]
301,65.0,15.0,0.07508639718835208,0.03474875098171908,[2.       2.000005 2.       ... 1.997029 1.997419 1.997804],[180.    179.999 179.996 ... 161.62  161.605 161.59 ]
302,65.0,16.0,0.07481348082731605,0.0317908108010381,[2.       2.000005 2.       ... 1.996053 1.996391 1.996733],[180.    179.999 179.996 ... 162.31  162.316 162.321]
303,65.0,17.0,0.07476047562520162,0.02674622169959643,[2.       2.000005 2.       ... 1.994735 1.995035 1.99534 ],[180.    179.999 179.996 ... 163.145 163.166 163.186]
304,65.0,18.0,0.07490996041964858,0.025123792390218946,[2.       2.000005 2.       ... 1.987969 1.98829  1.988616],[180.    179.999 179.996 ... 166.486 166.508 166.529]
305,65.0,19.0,0.0750204425932267,0.02693709675722519,[2.       2.000005 2.       ... 1.995904 1.996247 1.996595],[180.    179.999 179.996 ... 165.001 165.016 165.029]
