,K_r,K_theta,sigma_r,sigma_t,lengths,angles
388,85.0,18.0,0.048738311104862195,0.03016698716464768,[2.       2.000005 2.       ... 2.067539 2.068232 2.068943],[180.    179.999 179.996 ... 170.305 170.326 170.347]
389,85.0,19.0,0.04946487370327213,0.029654577369213665,[2.       2.000005 2.       ... 2.066144 2.066793 2.067449],[180.    179.999 179.996 ... 175.043 175.107 175.17 ]
391,85.0,20.0,0.0513015587536446,0.04100435926758154,[2.       2.000005 2.       ... 2.177093 2.178101 2.179118],[180.    179.999 179.996 ... 160.393 160.345 160.297]
399,90.0,0.0,0.04340987202684912,0.19137977050199773,[2.       2.000005 2.       ... 2.122003 2.123315 2.124643],[180.    179.999 179.996 ... 116.846 116.715 116.583]
400,90.0,1.0,0.06776979387385966,0.15290517690395006,[2.       2.000005 2.       ... 2.20807  2.20598  2.2039  ],[180.    179.999 179.996 ... 139.307 139.427 139.548]
411,90.0,2.0,0.05788095054733805,0.10248918846561014,[2.       2.000005 2.       ... 2.02006  2.018931 2.017795],[180.    179.999 179.996 ... 127.723 127.816 127.91 ]
413,90.0,3.0,0.04974527961709814,0.08936528709259935,[2.       2.000005 2.       ... 1.997191 1.998146 1.999113],[180.    179.999 179.996 ... 169.29  169.263 169.236]
414,90.0,4.0,0.050098129491820416,0.08973877251394541,[2.       2.000005 2.       ... 2.03685  2.036581 2.036311],[180.    179.999 179.996 ... 139.968 140.073 140.179]
415,90.0,5.0,0.04573489154274399,0.04423633401409991,[2.       2.000005 2.       ... 2.081443 2.082076 2.082728],[180.    179.999 179.996 ... 164.035 163.996 163.956]
416,90.0,6.0,0.046124954215034944,0.034323897500880385,[2.       2.000005 2.       ... 2.081392 2.082052 2.082715],[180.    179.999 179.996 ... 163.717 163.675 163.632]
417,90.0,7.0,0.041033118936431905,0.0435195512638891,[2.       2.000005 2.       ... 2.18627  2.18617  2.18607 ],[180.    179.999 179.996 ... 153.015 153.015 153.016]
418,90.0,8.0,0.04103460356254136,0.03946328249069635,[2.       2.000005 2.       ... 2.16492  2.16468  2.16442 ],[180.    179.999 179.996 ... 158.793 158.846 158.899]
419,90.0,9.0,0.041639133989456276,0.042182554034085815,[2.       2.000005 2.       ... 2.15723  2.15708  2.15694 ],[180.    179.999 179.996 ... 165.248 165.305 165.362]
401,90.0,10.0,0.04207624869127475,0.04521382710425921,[2.       2.000005 2.       ... 2.16197  2.16164  2.16131 ],[180.    179.999 179.996 ... 164.55  164.642 164.735]
402,90.0,11.0,0.041874510473604465,0.0434364596408655,[2.       2.000005 2.       ... 2.14317  2.14288  2.14258 ],[180.    179.999 179.996 ... 165.12  165.182 165.241]
403,90.0,12.0,0.04115112088522378,0.03961309901718991,[2.       2.000005 2.       ... 2.12723  2.12728  2.12732 ],[180.    179.999 179.996 ... 168.593 168.564 168.533]
404,90.0,13.0,0.04065538133506738,0.0359298708899675,[2.       2.000005 2.       ... 2.1403   2.14057  2.14084 ],[180.    179.999 179.996 ... 166.253 166.156 166.058]
405,90.0,14.0,0.04042881455771543,0.034592662167179634,[2.       2.000005 2.       ... 2.156555 2.15671  2.156866],[180.    179.999 179.996 ... 162.347 162.295 162.243]
406,90.0,15.0,0.040091695642621696,0.03422915694978897,[2.       2.000005 2.       ... 2.157407 2.157373 2.15734 ],[180.    179.999 179.996 ... 162.266 162.268 162.271]
407,90.0,16.0,0.03966764749348586,0.03221323573041651,[2.       2.000005 2.       ... 2.15482  2.15474  2.15466 ],[180.    179.999 179.996 ... 163.432 163.451 163.47 ]
408,90.0,17.0,0.04095090700887502,0.023769642476083243,[2.       2.000005 2.       ... 2.083243 2.083881 2.084527],[180.    179.999 179.996 ... 174.226 174.255 174.285]
409,90.0,18.0,0.04098233529768933,0.02476520191204467,[2.       2.000005 2.       ... 2.079683 2.080309 2.080942],[180.    179.999 179.996 ... 175.059 175.122 175.186]
410,90.0,19.0,0.046283745078937906,0.030408578657028625,[2.       2.000005 2.       ... 2.066345 2.066947 2.067558],[180.    179.999 179.996 ... 174.292 174.369 174.446]
412,90.0,20.0,0.04635624458911876,0.029203033556864766,[2.       2.000005 2.       ... 2.062458 2.06315  2.063861],[180.    179.999 179.996 ... 175.171 175.101 175.032]
420,95.0,0.0,0.053682246448313244,0.1524088468811622,[2.       2.000005 2.       ... 1.8816   1.88001  1.878465],[180.    179.999 179.996 ... 100.815 100.893 100.97 ]
421,95.0,1.0,0.0639215412287775,0.16334687266369688,[2.       2.000005 2.       ... 2.25909  2.2574   2.25571 ],[180.    179.999 179.996 ... 142.052 142.158 142.265]
432,95.0,2.0,0.05752606434418486,0.10013880157233501,[2.       2.000005 2.       ... 1.942834 1.942146 1.941455],[180.    179.999 179.996 ... 123.346 123.373 123.4  ]
434,95.0,3.0,0.05016784449616272,0.09206213858345805,[2.       2.000005 2.       ... 2.11799  2.11834  2.1187  ],[180.    179.999 179.996 ... 148.781 148.798 148.817]
435,95.0,4.0,0.0431393628730853,0.07519804205181714,[2.       2.000005 2.       ... 2.061298 2.061153 2.06101 ],[180.    179.999 179.996 ... 151.428 151.543 151.659]
436,95.0,5.0,0.042759699707525245,0.047357364058074856,[2.       2.000005 2.       ... 2.089066 2.090125 2.091205],[180.    179.999 179.996 ... 163.665 163.628 163.591]
437,95.0,6.0,0.042870853272808124,0.03325826629797486,[2.       2.000005 2.       ... 2.094527 2.095598 2.096681],[180.    179.999 179.996 ... 164.403 164.365 164.326]
438,95.0,7.0,0.03919979689490213,0.03721999419682087,[2.       2.000005 2.       ... 2.107917 2.108534 2.109169],[180.    179.999 179.996 ... 160.333 160.283 160.231]
439,95.0,8.0,0.03787225478460846,0.03923104174116082,[2.       2.000005 2.       ... 2.16536  2.16487  2.16439 ],[180.    179.999 179.996 ... 158.659 158.717 158.776]
440,95.0,9.0,0.0386013752056886,0.04209667766300625,[2.       2.000005 2.       ... 2.1556   2.15521  2.15482 ],[180.    179.999 179.996 ... 165.324 165.388 165.453]
422,95.0,10.0,0.03916531980719912,0.046168396318161206,[2.       2.000005 2.       ... 2.15282  2.1523   2.15177 ],[180.    179.999 179.996 ... 164.917 165.014 165.111]
423,95.0,11.0,0.03897302690200907,0.04619356818679516,[2.       2.000005 2.       ... 2.134    2.13359  2.13318 ],[180.    179.999 179.996 ... 164.951 165.017 165.081]
424,95.0,12.0,0.0380842922146579,0.04316042457414308,[2.       2.000005 2.       ... 2.12384  2.12375  2.12367 ],[180.    179.999 179.996 ... 168.542 168.521 168.497]
425,95.0,13.0,0.03741626501391671,0.038790693514765454,[2.       2.000005 2.       ... 2.138633 2.138717 2.138816],[180.    179.999 179.996 ... 166.502 166.399 166.295]
426,95.0,14.0,0.03709589847128135,0.03630596538672787,[2.       2.000005 2.       ... 2.153682 2.153623 2.153567],[180.    179.999 179.996 ... 162.635 162.579 162.523]
427,95.0,15.0,0.036713991611729425,0.035287910551069085,[2.       2.000005 2.       ... 2.153715 2.153457 2.153191],[180.    179.999 179.996 ... 162.716 162.72  162.724]
428,95.0,16.0,0.038803592580220175,0.028299504257103723,[2.       2.000005 2.       ... 2.113599 2.1141   2.114613],[180.    179.999 179.996 ... 170.321 170.364 170.408]
429,95.0,17.0,0.03811586812948309,0.024211961120371363,[2.       2.000005 2.       ... 2.110163 2.110637 2.111112],[180.    179.999 179.996 ... 174.4   174.422 174.446]
430,95.0,18.0,0.03890562519059969,0.025135938124615627,[2.       2.000005 2.       ... 2.10791  2.108418 2.108919],[180.    179.999 179.996 ... 174.354 174.418 174.482]
431,95.0,19.0,0.03903005806560555,0.027148304035199727,[2.       2.000005 2.       ... 2.104092 2.104637 2.105196],[180.    179.999 179.996 ... 178.912 178.852 178.788]
433,95.0,20.0,0.047774408797005966,0.041244175790625615,[2.       2.000005 2.       ... 2.20091  2.20218  2.20343 ],[180.    179.999 179.996 ... 158.363 158.303 158.245]
42,100.0,0.0,0.046082434171705135,0.17992288085831223,[2.       2.000005 2.       ... 2.12493  2.12561  2.12628 ],[180.    179.999 179.996 ... 129.785 129.76  129.735]
43,100.0,1.0,0.06040997391200777,0.1647006455610938,[2.       2.000005 2.       ... 2.19477  2.19304  2.19132 ],[180.    179.999 179.996 ... 149.028 149.163 149.3  ]
54,100.0,2.0,0.0553832518044737,0.09838865805481362,[2.       2.000005 2.       ... 1.946173 1.945538 1.944902],[180.    179.999 179.996 ... 120.392 120.406 120.421]
56,100.0,3.0,0.045519915391499605,0.0828166735517916,[2.       2.000005 2.       ... 2.08376  2.085094 2.086435],[180.    179.999 179.996 ... 147.352 147.339 147.326]
57,100.0,4.0,0.04206588086146658,0.05701118054772695,[2.       2.000005 2.       ... 2.152629 2.153436 2.154241],[180.    179.999 179.996 ... 158.997 159.008 159.017]
58,100.0,5.0,0.04158503060664312,0.036653331246062175,[2.       2.000005 2.       ... 2.139011 2.140065 2.141126],[180.    179.999 179.996 ... 164.536 164.506 164.475]
59,100.0,6.0,0.04295888214328959,0.028875268867141486,[2.       2.000005 2.       ... 2.148508 2.14955  2.1506  ],[180.    179.999 179.996 ... 164.921 164.882 164.843]
60,100.0,7.0,0.037653226810615004,0.03751265850725131,[2.       2.000005 2.       ... 2.110548 2.11103  2.111531],[180.    179.999 179.996 ... 160.095 160.043 159.991]
61,100.0,8.0,0.03597645852585477,0.03919497928827603,[2.       2.000005 2.       ... 2.14139  2.1407   2.14002 ],[180.    179.999 179.996 ... 159.482 159.546 159.609]
62,100.0,9.0,0.03663764706287388,0.0413217998466458,[2.       2.000005 2.       ... 2.13041  2.12988  2.12934 ],[180.    179.999 179.996 ... 167.378 167.447 167.517]
44,100.0,10.0,0.037395188080100505,0.04542832731494067,[2.       2.000005 2.       ... 2.12405  2.12351  2.12297 ],[180.    179.999 179.996 ... 167.385 167.475 167.566]
45,100.0,11.0,0.03771227601242494,0.048191619904978236,[2.       2.000005 2.       ... 2.1073   2.10696  2.10663 ],[180.    179.999 179.996 ... 167.115 167.145 167.173]
46,100.0,12.0,0.03693474372789097,0.04780779576126466,[2.       2.000005 2.       ... 2.10511  2.10508  2.10506 ],[180.    179.999 179.996 ... 168.246 168.146 168.044]
47,100.0,13.0,0.03782238028329174,0.0355092762386256,[2.       2.000005 2.       ... 2.111243 2.112041 2.112849],[180.    179.999 179.996 ... 169.419 169.334 169.248]
48,100.0,14.0,0.03764893171660999,0.03270875798778921,[2.       2.000005 2.       ... 2.128101 2.128812 2.129533],[180.    179.999 179.996 ... 163.585 163.535 163.486]
49,100.0,15.0,0.037309363672261994,0.03427580692878952,[2.       2.000005 2.       ... 2.135713 2.136132 2.136558],[180.    179.999 179.996 ... 162.329 162.339 162.35 ]
50,100.0,16.0,0.03695975776441052,0.030494494956236427,[2.       2.000005 2.       ... 2.118562 2.118887 2.119211],[180.    179.999 179.996 ... 168.921 168.961 169.001]
51,100.0,17.0,0.036149585228265085,0.0253337043358767,[2.       2.000005 2.       ... 2.108419 2.108701 2.108993],[180.    179.999 179.996 ... 172.6   172.624 172.65 ]
52,100.0,18.0,0.03660265069813294,0.025481980834952643,[2.       2.000005 2.       ... 2.105798 2.106086 2.106387],[180.    179.999 179.996 ... 173.45  173.513 173.578]
53,100.0,19.0,0.036485722580011606,0.026663464373276928,[2.       2.000005 2.       ... 2.101288 2.101604 2.101934],[180.    179.999 179.996 ... 179.186 179.206 179.219]
55,100.0,20.0,0.03677221248991556,0.028035433420600848,[2.       2.000005 2.       ... 2.101965 2.102383 2.102805],[180.    179.999 179.996 ... 173.468 173.403 173.338]
