,FU fraction,FU fraction,FU fraction,UU fraction,UU fraction,UU fraction,FU equilibrium constant,FU equilibrium constant,FU equilibrium constant,UU equilibrium constant,UU equilibrium constant,UU equilibrium constant,extension,extension,extension,extension,angle,angle,angle,angle,FU mean duration,FU mean duration,FU mean duration,UU mean duration,UU mean duration,UU mean duration,FU free energy,FU free energy,UU free energy,UU free energy
,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,std_sem,sem,mean,std,std_sem,sem,mean,std,sem,mean,std,sem,value,sem,value,sem
force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.013083986916013084,,,2.8999971000029e-05,,,0.013257836755538622,,,2.938530005431214e-05,,,1.0466515987894012,0.10800885522867557,0.00010800885522867556,4.86039605509298e-12,0.8992598360512751,0.05278242784436981,5.2782427844369806e-05,0.00016582080464412396,8.986128093523234e-12,8.523471594301697e-11,4.779725526278914e-12,4.524068288338608e-13,2.914364494733503e-13,7.788966742479512e-14,4.323166448141244,,10.435016006813045,
10.0,0.5995624004375996,,,0.19862780137219863,,,2.9709281006887664,,,0.9842326941182299,,,1.353155133708866,0.14199826508945002,0.00014199826508945002,6.3899187340666814e-12,0.916541385291948,0.043731754698945316,4.373175469894532e-05,0.0001373872905971694,1.2546376905854253e-11,1.1171118917425396e-10,1.093474936908663e-12,4.168044774465826e-12,4.831835102229401e-11,4.736182870749484e-13,-1.08887439581361,,0.015892932123913642,
20.0,0.6577573422426578,,,0.34176065823934176,,,1364.6431535271154,,,709.0477178423986,,,1.6182081052488952,0.10261562376569196,0.00010261562376569195,4.6177007606063344e-12,0.9274727885605446,0.03783393359881836,3.7833933598818366e-05,0.00011885874842109247,1.4543518796541834e-12,9.684096471177244e-12,3.0812801858079023e-14,7.556666505640235e-13,5.730437248264441e-12,1.823316422015971e-14,-7.218648247453869,,-6.563922827289099,
30.0,0.62002637997362,,,0.3795956204043796,,,1640.283068783156,,,1004.2222222222757,,,1.756369323538177,0.0755902010365322,7.55902010365322e-05,3.4015573458657008e-12,0.9367354214201342,0.03278568864098531,3.2785688640985306e-05,0.00010299922707780111,6.765824160723266e-13,2.2668415531269682e-12,5.066950044907547e-15,4.1421856728990455e-13,1.4928152683509053e-12,3.3368020294509462e-15,-7.402624108840633,,-6.911968612635059,
40.0,0.612005387994612,,,0.3877096122903877,,,2147.389473684179,,,1360.3859649122605,,,1.8455864663500345,0.06805320311833139,6.805320311833138e-05,3.0623926091289907e-12,0.9418594541127676,0.030147917378811652,3.0147917378811646e-05,9.471242840210437e-05,5.713753793248111e-13,6.141904126512061e-13,1.2698615093366118e-15,3.6197022303379805e-13,3.7785405896892235e-13,7.812273128133769e-16,-7.672008185099308,,-7.215523736196743,
50.0,0.6109823890176109,,,0.38879561120438877,,,2752.175675674664,,,1751.3333333326898,,,1.9540434808635188,0.09055443676949722,9.05544367694972e-05,4.0749476171540755e-12,0.950082846656042,0.02602445426484884,2.6024454264848838e-05,8.175819345304617e-05,5.615458480352663e-13,4.4124643535379486e-13,9.051689795530143e-16,3.573354099421848e-13,2.2447070139737607e-13,4.60476214481022e-16,-7.920147032653422,,-7.468132681577008,
60.0,0.6111463888536112,,,0.3886606113393887,,,3166.5647668399133,,,2013.7875647671797,,,2.174342049504451,0.12423566734541647,0.00012423566734541647,5.590602235243321e-12,0.9566253186580147,0.02292963426192368,2.292963426192368e-05,7.203553452900199e-05,5.620892323294953e-13,4.396994171115534e-13,9.023106552597776e-16,3.574640521945628e-13,2.2286240966672278e-13,4.573386783944988e-16,-8.060402609510112,,-7.6077725884536,
