,mean extension,mean extension,mean extension,FU fraction,FU fraction,FU fraction,UU fraction,UU fraction,UU fraction,FU equilibrium constant,FU equilibrium constant,FU equilibrium constant,UU equilibrium constant,UU equilibrium constant,UU equilibrium constant,FU mean duration,FU mean duration,FU mean duration,UU mean duration,UU mean duration,UU mean duration,FU free energy,FU free energy,UU free energy,UU free energy
,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,value,sem,value,sem
force,,,,,,,,,,,,,,,,,,,,,,,,,
2e-10,2.7881694695540445e-07,7.845664683567826e-10,3.508687912225407e-10,0.5953604639536045,0.01418702730097303,0.006344631488724213,0.37982201779822017,0.014251574526824313,0.006373497885676712,23.99924170507511,0.77089860897527,0.3447563386857466,15.31278586568757,0.7134778316904844,0.31907698641981536,3.529850336989176e-11,2.624141790987464e-11,8.545443894245656e-13,2.23048773273797e-11,1.4645849102209972e-11,4.597798145905772e-13,-3.178022234226923,0.014365301325868189,-2.7286881569102825,0.020837291738977
