K_r phys,K_theta phys,monomer lengths,angle_deg,types,bond lengths
22.0,14.0,[2.       2.26644  2.35543  ... 2.2944   2.126326 2.095187],[180.    168.212 167.977 ... 159.966 157.372 178.238],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.15707  1.29002  ... 1.05318  1.15064  0.870077]
 [1.       1.10937  1.06541  ... 1.24122  0.975686 1.22511 ]]"
22.0,20.0,[2.       2.26078  2.37249  ... 2.18875  2.037357 2.205941],[180.    172.886 163.67  ... 173.024 162.321 153.447],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.15346  1.29937  ... 1.08686  1.09078  0.825051]
 [1.       1.10732  1.07312  ... 1.10189  0.946577 1.38089 ]]"
22.0,26.0,[2.       2.25782  2.36315  ... 2.2807   2.135964 2.272971],[180.    177.812 168.372 ... 161.851 157.532 149.993],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.15196  1.29619  ... 1.11946  1.21174  0.875021]
 [1.       1.10586  1.06696  ... 1.16124  0.924224 1.39795 ]]"
32.0,2.0,[2.       2.24954  2.29351  ... 2.211656 1.949328 2.152351],[180.    177.552 147.426 ... 150.243 159.62  147.896],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.08144  1.15623  ... 0.950416 0.900988 0.965981]
 [1.       1.1681   1.13728  ... 1.26124  1.04834  1.18637 ]]"
32.0,8.0,[2.       2.2667   2.24151  ... 2.15373  1.923481 2.192106],[180.    168.632 161.436 ... 149.671 155.162 155.438],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.08272  1.12682  ... 0.92896  0.886411 0.986146]
 [1.       1.18398  1.11469  ... 1.22477  1.03707  1.20596 ]]"
32.0,14.0,[2.       2.26921  2.236    ... 2.0916   1.988774 2.244526],[180.    168.513 167.494 ... 153.11  149.348 176.811],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.08245  1.12269  ... 1.00905  0.962014 0.979786]
 [1.       1.18676  1.11331  ... 1.08255  1.02676  1.26474 ]]"
32.0,20.0,[2.       2.26409  2.25256  ... 2.055047 1.861362 2.27108 ],[180.    172.619 163.572 ... 167.467 168.086 155.828],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.07982  1.1285   ... 0.910147 0.93164  1.03607 ]
 [1.       1.18427  1.12406  ... 1.1449   0.929722 1.23501 ]]"
32.0,26.0,[2.       2.26099  2.24061  ... 2.169661 1.981118 2.21517 ],[180.    177.293 170.187 ... 164.935 169.01  159.621],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.07849  1.12237  ... 0.908861 0.950848 1.0113  ]
 [1.       1.1825   1.11824  ... 1.2608   1.03027  1.20387 ]]"
42.0,2.0,[2.       2.23437  2.20972  ... 2.023581 2.085172 2.319943],[180.    177.952 147.517 ... 148.468 128.651 155.551],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.05947  1.02957  ... 0.943411 0.913002 0.871683]
 [1.       1.1749   1.18015  ... 1.08017  1.17217  1.44826 ]]"
42.0,8.0,[2.       2.25095  2.15375  ... 1.914308 1.894387 2.013429],[180.    168.775 162.94  ... 169.809 166.356 166.739],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.06269  0.99897  ... 0.968487 1.00986  1.07423 ]
 [1.       1.18826  1.15478  ... 0.945821 0.884527 0.939199]]"
42.0,14.0,[2.       2.253    2.153759 ... 1.881773 1.928167 2.259804],[180.    168.695 166.724 ... 166.502 167.966 166.415],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.06326  0.997039 ... 0.991266 1.12374  1.31416 ]
 [1.       1.18974  1.15672  ... 0.890507 0.804427 0.945644]]"
42.0,20.0,[2.       2.24803  2.16843  ... 1.897771 1.934604 2.258396],[180.    172.647 163.493 ... 175.398 173.305 173.511],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.06128  1.00189  ... 0.954765 1.08762  1.30793 ]
 [1.       1.18675  1.16654  ... 0.943006 0.846984 0.950466]]"
42.0,26.0,[2.       2.24499  2.15511  ... 1.963621 2.12749  2.131702],[180.    177.2   171.371 ... 169.675 170.628 160.238],"[[1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]]","[[1.       1.06024  0.99444  ... 0.914131 1.04431  0.939002]
 [1.       1.18475  1.16067  ... 1.04949  1.08318  1.1927  ]]"
