,mean extension,mean extension,FU fraction,FU fraction,UU fraction,UU fraction,FU equilibrium constant,FU equilibrium constant,UU equilibrium constant,UU equilibrium constant,FU mean duration,FU mean duration,UU mean duration,UU mean duration,FU free energy,FU free energy,UU free energy,UU free energy
,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,se,mean,se,value,se,value,se
force,,,,,,,,,,,,,,,,,,
1.0,16.24712724462554,0.5217898113103414,0.5672832716728327,0.036136829037129475,0.29983001699830014,0.027853607083396837,6.660292982556397,2.4987664283708515,3.499289388485925,1.2893306631110715,2.626983913880315,0.2646155155729873,1.3400942423862476,0.14433493988489363,-1.89616347495954,0.3751736500053724,-1.252559916020445,0.3684549975642169
1.5,19.11796108749125,0.5186128198954472,0.6011798820117988,0.032476124302679175,0.3097290270972903,0.014638297097299966,13.044944022506362,4.973756924513601,6.688163006256017,2.705871848891673,2.1645671477179462,0.17144275609870935,1.1097567940867545,0.10613310840720994,-2.5684006274722684,0.38127851801682,-1.9003392484303638,0.4045762410935016
2.0,22.240114030546945,0.5522697801414616,0.6269173082691731,0.008552763840691478,0.32572742725727427,0.020491281494275024,20.89542783696653,4.287509972837276,11.271006661759177,2.416797281069731,1.7971386635413769,0.14215191833701135,0.9013095811564675,0.06973281134184436,-3.0395303712569732,0.2051889057400468,-2.422233646312839,0.2144260360762237
2.5,25.45680138481152,0.4541111329079964,0.622017798220178,0.021582127737889475,0.3437856214378562,0.013631002798565434,26.11354145064803,7.992760242908609,13.788560466133097,3.89946786689014,1.3809315344189466,0.08619279006488663,0.7788627075423009,0.05004580392628472,-3.262454009309889,0.3060772227318965,-2.6238392966631956,0.28280456661649744
3.0,28.814782470752924,0.5630363920925305,0.6331166883311669,0.02721125322610207,0.34708529147085293,0.028691562359303802,36.87151368675573,6.977014479546643,20.819229015974273,4.57974036340173,1.1551004755486132,0.05782946622902557,0.6165014697454446,0.03204223137976893,-3.6074392661024297,0.18922506243763976,-3.0358770315681287,0.21997646309994315
3.5,32.23620837816218,0.5105020454337276,0.6272572742725727,0.01538700898886057,0.3546845315468453,0.013854710660240209,39.159267974666385,7.533998432210317,21.62314335340824,3.3907718279658994,1.0338583486713389,0.047462826761035956,0.5792304565831353,0.024575812359021364,-3.6676371242972525,0.19239375049309773,-3.073764192642271,0.15681216058864292
4.0,35.789857890860915,0.4751881511597009,0.6322967703229677,0.013930749617388223,0.35502449755024496,0.013488632604480712,52.463643553230625,6.052353180034938,29.17912537053179,2.7607031541376124,0.9311269450152656,0.036349299017160996,0.527991076164419,0.017908584113163997,-3.9601204259581126,0.11536280689110172,-3.3734535690515837,0.09461226541511304
4.5,38.93254186321368,0.4329685904705188,0.6265173482651735,0.006123307982203904,0.36158384161583845,0.005798764914086228,54.93091742829616,5.565051168904425,31.624031629390323,3.0249366736281003,0.8740746520482903,0.03138900759081401,0.4975070665159697,0.015211245723459013,-4.006076348986332,0.10130999862088123,-3.4539173261643348,0.09565310043570867
5.0,42.233094155234475,0.3147394871364566,0.6255374462553744,0.010934764971745461,0.3639236076392361,0.010652694630215587,60.332835737736445,4.599351015562144,34.87873431501144,1.763293479563032,0.8217043826807244,0.02640747491316484,0.46586628800488444,0.011079283904758451,-4.099876495122873,0.07623296600138725,-3.5518773115421274,0.05055497322917847
5.5,45.61985930646935,0.32976684571484205,0.6081191880811919,0.014406661221357683,0.3819218078192181,0.014096873896082522,62.01447430116658,4.7929991722581144,38.59596502697532,1.5621101883461692,0.7542306818285335,0.02034207826982453,0.465550216771141,0.011027689068435374,-4.127367814268799,0.07728839478637572,-3.6531477380269184,0.04047340666969685
6.0,48.87158637486251,0.3488100600822864,0.6043595640435957,0.009241770235321812,0.38606139386061394,0.00897044622157828,64.10764655651298,4.5620359799474635,40.739934389367605,1.993705901863678,0.7328584292291156,0.019166397981054375,0.4592402131264763,0.01061209406600619,-4.160563647865257,0.07116211910736546,-3.7072088003252865,0.048937386172718034
6.5,52.39860116508349,0.3636564877144127,0.6034196580341966,0.007114090063979334,0.3872612738726128,0.0067385397499998695,65.83296666557223,4.655313517812464,42.03297836578675,2.0519960501736447,0.718512847836981,0.017706092597356886,0.45781119634404427,0.009958813631709989,-4.187120726020678,0.07071401690677552,-3.73845450936116,0.04881871639731083
7.0,55.90098978517149,0.4990552369447715,0.6059194080591941,0.005793158683040524,0.38604139586041397,0.005525332011376315,76.11965028664895,4.021701517049665,48.3567512163486,1.917578889407928,0.7151752463043322,0.01725440548089362,0.4546919272876942,0.009741605563003302,-4.332306448179993,0.05283394631878719,-3.8786058443408526,0.03965483290696392
7.5,58.96365496945306,0.40487159146840446,0.6052394760523947,0.006806888627714177,0.3872012798720128,0.006563610543939646,80.89620539854332,4.2718294616646855,51.588862180289404,2.0313293581151273,0.7074049213914337,0.01704889581686654,0.4501994399436024,0.00944155289425258,-4.3931669181256074,0.052806302107980055,-3.943305799969524,0.039375347163427825
8.0,62.36825447335266,0.36576505307189267,0.606079392060794,0.007453555416495946,0.3867213278672133,0.007259411798560334,85.32096165367732,4.951307076808047,54.29929108034721,2.758991227617211,0.7071261881646088,0.017074423599336534,0.44838119097582174,0.009279742405866293,-4.446420164679778,0.058031543255521276,-3.994511171244116,0.050810814887706425
8.5,65.79768958524147,0.36219789204848596,0.6057194280571943,0.0064632843642613074,0.38750124987501244,0.006301004608089016,90.53727850036437,5.150540047612224,57.81164679226335,3.026248167256951,0.7053110770297141,0.016832703823386513,0.4463942544367092,0.00920673822363101,-4.505761683022407,0.056888611331425164,-4.057190256975864,0.052346686786682896
