folder,seed,K_r_lmp,K_theta_lmp,k_phys,alpha_hat_dump,alpha_hat_temp,k_hat_dump,k_hat_temp,dump_bond_idx,N_frames
k_r6.2_k_theta10.0Seed54654685,54654685,6.2,10.0,12.4,9.49768938859912,9.557745721910571,18.99537877719824,19.115491443821142,0,8001
k_r6.2_k_theta13.0Seed54654651,54654651,6.2,13.0,12.4,9.24473611238009,8.916680790195096,18.48947222476018,17.833361580390193,1,8001
k_r6.2_k_theta13.0Seed54654653,54654653,6.2,13.0,12.4,9.237286026254669,9.011045895448555,18.474572052509338,18.02209179089711,0,8001
k_r6.2_k_theta13.0Seed54654659,54654659,6.2,13.0,12.4,9.685442353562255,9.735416830287983,19.37088470712451,19.470833660575966,1,8001
k_r6.2_k_theta13.0Seed54654661,54654661,6.2,13.0,12.4,9.59803312472092,9.566100559856602,19.19606624944184,19.132201119713205,1,8001
k_r6.2_k_theta13.0Seed54654685,54654685,6.2,13.0,12.4,9.576102666115972,9.395062578212745,19.152205332231944,18.79012515642549,1,8001
k_r6.2_k_theta4.0Seed54654651,54654651,6.2,4.0,12.4,9.588010253937925,9.054677399187508,19.17602050787585,18.109354798375016,1,8001
k_r6.2_k_theta4.0Seed54654653,54654653,6.2,4.0,12.4,9.275677192441199,9.078461198806826,18.551354384882398,18.156922397613652,0,8001
k_r6.2_k_theta4.0Seed54654659,54654659,6.2,4.0,12.4,9.851999913678327,9.724613231032677,19.703999827356654,19.449226462065354,0,8001
k_r6.2_k_theta4.0Seed54654661,54654661,6.2,4.0,12.4,9.726471110813135,9.544423366288163,19.45294222162627,19.088846732576325,0,8001
k_r6.2_k_theta4.0Seed54654685,54654685,6.2,4.0,12.4,9.763287989199561,9.668866342706272,19.526575978399123,19.337732685412544,1,8001
k_r6.2_k_theta7.0Seed54654651,54654651,6.2,7.0,12.4,9.328975244448765,9.028877746587389,18.65795048889753,18.057755493174778,1,8001
k_r6.2_k_theta7.0Seed54654653,54654653,6.2,7.0,12.4,9.200761983020316,8.921666164841932,18.40152396604063,17.843332329683864,1,8001
k_r6.2_k_theta7.0Seed54654659,54654659,6.2,7.0,12.4,10.024731430750192,9.882453672325708,20.049462861500384,19.764907344651416,0,8001
k_r6.2_k_theta7.0Seed54654661,54654661,6.2,7.0,12.4,9.475133766748842,9.250668584392239,18.950267533497684,18.501337168784477,0,8001
k_r6.2_k_theta7.0Seed54654685,54654685,6.2,7.0,12.4,9.479026717091617,9.272830481084982,18.958053434183235,18.545660962169965,1,8001
k_r7.2_k_theta1.0Seed54654651,54654651,7.2,1.0,14.4,9.642423198643222,9.212570341303145,19.284846397286444,18.42514068260629,1,8001
k_r7.2_k_theta1.0Seed54654653,54654653,7.2,1.0,14.4,9.327883002050331,9.089300514254864,18.655766004100663,18.17860102850973,0,8001
k_r7.2_k_theta1.0Seed54654659,54654659,7.2,1.0,14.4,9.766033488396701,9.503882217982458,19.532066976793402,19.007764435964916,0,8001
k_r7.2_k_theta1.0Seed54654661,54654661,7.2,1.0,14.4,9.467304042746242,9.510937662660377,18.934608085492485,19.021875325320753,0,8001
k_r7.2_k_theta1.0Seed54654685,54654685,7.2,1.0,14.4,9.506605885593421,9.490025706185156,19.013211771186842,18.98005141237031,1,8001
k_r7.2_k_theta10.0Seed54654651,54654651,7.2,10.0,14.4,9.329257793553733,8.946462081724185,18.658515587107466,17.89292416344837,1,8001
k_r7.2_k_theta10.0Seed54654653,54654653,7.2,10.0,14.4,9.006214770269315,8.831956640373777,18.01242954053863,17.663913280747554,0,8001
k_r7.2_k_theta10.0Seed54654659,54654659,7.2,10.0,14.4,9.51591687358381,9.220754192766604,19.03183374716762,18.441508385533208,0,8001
